"","NEWID","last_changepoint","seg_num","Start_Week","End_Week"
"1",1,47,2,2020-06-15,2020-06-21
"2",2,56,2,2020-08-17,2020-08-23
"3",3,49,2,2020-06-29,2020-07-05
"4",6,101,4,2021-06-28,2021-07-04
"5",7,90,4,2021-04-12,2021-04-18
"6",8,89,2,2021-04-05,2021-04-11
"7",9,48,2,2020-06-22,2020-06-28
"8",10,58,3,2020-08-31,2020-09-06
"9",15,83,2,2021-02-22,2021-02-28
"10",17,100,3,2021-06-21,2021-06-27
"11",18,80,3,2021-02-01,2021-02-07
"12",19,56,3,2020-08-17,2020-08-23
"13",20,53,2,2020-07-27,2020-08-02
"14",21,101,3,2021-06-28,2021-07-04
"15",23,19,2,2019-12-02,2019-12-08
"16",24,49,2,2020-06-29,2020-07-05
"17",25,48,2,2020-06-22,2020-06-28
"18",26,44,2,2020-05-25,2020-05-31
"19",27,96,3,2021-05-24,2021-05-30
"20",28,101,4,2021-06-28,2021-07-04
"21",30,69,2,2020-11-16,2020-11-22
"22",31,74,2,2020-12-21,2020-12-27
"23",32,87,4,2021-03-22,2021-03-28
"24",33,24,2,2020-01-06,2020-01-12
"25",34,90,4,2021-04-12,2021-04-18
"26",35,25,2,2020-01-13,2020-01-19
"27",36,49,2,2020-06-29,2020-07-05
"28",38,60,2,2020-09-14,2020-09-20
"29",39,72,2,2020-12-07,2020-12-13
"30",40,77,3,2021-01-11,2021-01-17
"31",41,64,3,2020-10-12,2020-10-18
"32",45,70,2,2020-11-23,2020-11-29
"33",46,85,2,2021-03-08,2021-03-14
"34",47,95,2,2021-05-17,2021-05-23
"35",48,62,2,2020-09-28,2020-10-04
"36",49,69,3,2020-11-16,2020-11-22
"37",51,79,2,2021-01-25,2021-01-31
"38",52,95,2,2021-05-17,2021-05-23
"39",53,72,2,2020-12-07,2020-12-13
"40",55,88,5,2021-03-29,2021-04-04
"41",56,79,2,2021-01-25,2021-01-31
"42",57,70,2,2020-11-23,2020-11-29
"43",58,76,3,2021-01-04,2021-01-10
"44",59,48,2,2020-06-22,2020-06-28
"45",60,69,4,2020-11-16,2020-11-22
"46",63,65,2,2020-10-19,2020-10-25
"47",65,98,2,2021-06-07,2021-06-13
"48",66,80,2,2021-02-01,2021-02-07
"49",67,56,2,2020-08-17,2020-08-23
"50",69,27,2,2020-01-27,2020-02-02
"51",70,82,2,2021-02-15,2021-02-21
"52",71,65,2,2020-10-19,2020-10-25
"53",73,92,3,2021-04-26,2021-05-02
"54",74,69,2,2020-11-16,2020-11-22
"55",76,90,2,2021-04-12,2021-04-18
"56",77,18,2,2019-11-25,2019-12-01
"57",79,97,2,2021-05-31,2021-06-06
"58",81,65,2,2020-10-19,2020-10-25
"59",82,79,2,2021-01-25,2021-01-31
"60",83,67,2,2020-11-02,2020-11-08
"61",84,100,5,2021-06-21,2021-06-27
"62",85,71,4,2020-11-30,2020-12-06
"63",89,62,3,2020-09-28,2020-10-04
"64",91,56,2,2020-08-17,2020-08-23
"65",92,101,4,2021-06-28,2021-07-04
"66",93,60,3,2020-09-14,2020-09-20
"67",94,101,5,2021-06-28,2021-07-04
"68",95,14,2,2019-10-28,2019-11-03
"69",96,99,3,2021-06-14,2021-06-20
"70",97,71,3,2020-11-30,2020-12-06
"71",98,60,3,2020-09-14,2020-09-20
"72",99,90,2,2021-04-12,2021-04-18
"73",102,88,2,2021-03-29,2021-04-04
"74",104,95,2,2021-05-17,2021-05-23
"75",106,89,4,2021-04-05,2021-04-11
"76",107,99,3,2021-06-14,2021-06-20
"77",108,88,3,2021-03-29,2021-04-04
"78",109,84,2,2021-03-01,2021-03-07
"79",111,57,2,2020-08-24,2020-08-30
"80",114,100,2,2021-06-21,2021-06-27
"81",116,88,6,2021-03-29,2021-04-04
"82",117,73,2,2020-12-14,2020-12-20
"83",118,47,2,2020-06-15,2020-06-21
"84",119,18,2,2019-11-25,2019-12-01
"85",120,70,2,2020-11-23,2020-11-29
"86",122,78,2,2021-01-18,2021-01-24
"87",124,33,2,2020-03-09,2020-03-15
"88",126,101,3,2021-06-28,2021-07-04
"89",128,67,2,2020-11-02,2020-11-08
"90",130,1,1,2019-08-01,2019-08-04
"91",133,49,2,2020-06-29,2020-07-05
"92",134,59,2,2020-09-07,2020-09-13
"93",135,76,2,2021-01-04,2021-01-10
"94",136,33,2,2020-03-09,2020-03-15
"95",137,62,2,2020-09-28,2020-10-04
"96",140,97,4,2021-05-31,2021-06-06
"97",141,78,2,2021-01-18,2021-01-24
"98",142,24,2,2020-01-06,2020-01-12
"99",143,48,2,2020-06-22,2020-06-28
"100",147,97,3,2021-05-31,2021-06-06
"101",148,56,2,2020-08-17,2020-08-23
"102",149,45,3,2020-06-01,2020-06-07
"103",153,49,2,2020-06-29,2020-07-05
"104",154,19,3,2019-12-02,2019-12-08
"105",156,66,2,2020-10-26,2020-11-01
"106",157,84,3,2021-03-01,2021-03-07
"107",158,51,2,2020-07-13,2020-07-19
"108",160,50,2,2020-07-06,2020-07-12
"109",161,19,4,2019-12-02,2019-12-08
"110",162,76,2,2021-01-04,2021-01-10
"111",163,70,3,2020-11-23,2020-11-29
"112",167,100,3,2021-06-21,2021-06-27
"113",168,57,2,2020-08-24,2020-08-30
"114",169,68,2,2020-11-09,2020-11-15
"115",170,67,2,2020-11-02,2020-11-08
"116",171,50,2,2020-07-06,2020-07-12
"117",173,11,2,2019-10-07,2019-10-13
"118",174,77,4,2021-01-11,2021-01-17
"119",175,58,2,2020-08-31,2020-09-06
"120",177,68,2,2020-11-09,2020-11-15
"121",178,24,2,2020-01-06,2020-01-12
"122",180,71,2,2020-11-30,2020-12-06
"123",185,99,2,2021-06-14,2021-06-20
"124",186,78,2,2021-01-18,2021-01-24
"125",187,97,4,2021-05-31,2021-06-06
"126",188,97,2,2021-05-31,2021-06-06
"127",189,84,2,2021-03-01,2021-03-07
"128",190,73,2,2020-12-14,2020-12-20
"129",191,48,2,2020-06-22,2020-06-28
"130",192,47,2,2020-06-15,2020-06-21
"131",193,69,3,2020-11-16,2020-11-22
"132",194,66,2,2020-10-26,2020-11-01
"133",195,50,2,2020-07-06,2020-07-12
"134",196,88,4,2021-03-29,2021-04-04
"135",197,76,3,2021-01-04,2021-01-10
"136",199,73,2,2020-12-14,2020-12-20
"137",200,53,2,2020-07-27,2020-08-02
"138",201,86,2,2021-03-15,2021-03-21
"139",202,65,2,2020-10-19,2020-10-25
"140",203,45,3,2020-06-01,2020-06-07
"141",204,33,2,2020-03-09,2020-03-15
"142",205,52,2,2020-07-20,2020-07-26
"143",206,85,4,2021-03-08,2021-03-14
"144",211,57,2,2020-08-24,2020-08-30
"145",212,73,2,2020-12-14,2020-12-20
"146",213,47,2,2020-06-15,2020-06-21
"147",214,99,3,2021-06-14,2021-06-20
"148",215,43,2,2020-05-18,2020-05-24
"149",216,90,3,2021-04-12,2021-04-18
"150",218,20,2,2019-12-09,2019-12-15
"151",221,52,2,2020-07-20,2020-07-26
"152",222,68,2,2020-11-09,2020-11-15
"153",223,56,2,2020-08-17,2020-08-23
"154",226,87,5,2021-03-22,2021-03-28
"155",227,89,4,2021-04-05,2021-04-11
"156",232,83,3,2021-02-22,2021-02-28
"157",235,76,2,2021-01-04,2021-01-10
"158",237,51,2,2020-07-13,2020-07-19
"159",238,78,2,2021-01-18,2021-01-24
"160",240,92,3,2021-04-26,2021-05-02
"161",241,69,3,2020-11-16,2020-11-22
"162",242,100,3,2021-06-21,2021-06-27
"163",243,93,4,2021-05-03,2021-05-09
"164",244,50,2,2020-07-06,2020-07-12
"165",245,67,2,2020-11-02,2020-11-08
"166",247,70,2,2020-11-23,2020-11-29
"167",248,64,5,2020-10-12,2020-10-18
"168",250,43,3,2020-05-18,2020-05-24
"169",251,61,2,2020-09-21,2020-09-27
"170",252,52,2,2020-07-20,2020-07-26
"171",255,90,2,2021-04-12,2021-04-18
"172",256,100,2,2021-06-21,2021-06-27
"173",257,91,3,2021-04-19,2021-04-25
"174",261,27,2,2020-01-27,2020-02-02
"175",263,38,2,2020-04-13,2020-04-19
"176",265,80,2,2021-02-01,2021-02-07
"177",266,58,2,2020-08-31,2020-09-06
"178",267,96,4,2021-05-24,2021-05-30
"179",268,89,2,2021-04-05,2021-04-11
"180",270,88,2,2021-03-29,2021-04-04
"181",273,89,2,2021-04-05,2021-04-11
"182",274,69,4,2020-11-16,2020-11-22
"183",276,98,3,2021-06-07,2021-06-13
"184",277,56,2,2020-08-17,2020-08-23
"185",280,48,2,2020-06-22,2020-06-28
"186",281,83,3,2021-02-22,2021-02-28
"187",283,31,3,2020-02-24,2020-03-01
"188",284,80,2,2021-02-01,2021-02-07
"189",286,48,2,2020-06-22,2020-06-28
"190",287,99,3,2021-06-14,2021-06-20
"191",288,44,2,2020-05-25,2020-05-31
"192",289,50,2,2020-07-06,2020-07-12
"193",292,51,2,2020-07-13,2020-07-19
"194",293,60,2,2020-09-14,2020-09-20
"195",296,51,2,2020-07-13,2020-07-19
"196",297,101,3,2021-06-28,2021-07-04
"197",298,48,2,2020-06-22,2020-06-28
"198",299,77,2,2021-01-11,2021-01-17
"199",301,50,2,2020-07-06,2020-07-12
"200",303,63,4,2020-10-05,2020-10-11
"201",304,79,2,2021-01-25,2021-01-31
"202",305,93,4,2021-05-03,2021-05-09
"203",306,65,3,2020-10-19,2020-10-25
"204",307,71,3,2020-11-30,2020-12-06
"205",309,47,2,2020-06-15,2020-06-21
"206",310,17,2,2019-11-18,2019-11-24
"207",312,68,2,2020-11-09,2020-11-15
"208",313,47,2,2020-06-15,2020-06-21
"209",314,60,2,2020-09-14,2020-09-20
"210",316,73,2,2020-12-14,2020-12-20
"211",317,64,2,2020-10-12,2020-10-18
"212",318,69,4,2020-11-16,2020-11-22
"213",319,49,2,2020-06-29,2020-07-05
"214",320,19,2,2019-12-02,2019-12-08
